AnnualIncome,Investments,Deductions,HRA,Age,EmploymentType,MaritalStatus,TaxLiability,TaxBurdenRatio,TaxSavings,StandardDeduction,EffectiveStrategy
972774.2,58862.4,51685.83,271378.93,22,Government,Married,22448.09,0.0231,281057.46,50000,Standard_Planning
584974.01,74009.59,60106.59,102211.75,56,Government,Married,5129.6,0.0088,177382.3,50000,Standard_Planning
1095226.59,134211.0,31805.0,237059.0,74,Private,Married,32983.77,0.0301,308726.93,50000,Senior_Planning
2737450.76,93661.0,49247.0,655305.87,52,Private,Married,332041.91,0.1213,522042.73,50000,High_Income_Strategy
1364122.66,102709.0,82176.0,307885.12,54,Private,Single,57931.0,0.0425,367675.27,50000,Aggressive_Tax_Planning
2611955.36,52939.0,33974.0,1005349.09,37,Self-Employed,Married,201144.3,0.077,613785.77,0,High_Income_Strategy
734630.67,37094.4,22141.67,280178.64,34,Business,Married,7551.23,0.0103,221653.54,0,Standard_Planning
2259247.93,79910.0,64095.0,688826.98,62,Private,Married,175868.15,0.0778,529017.21,50000,Senior_Planning
1253767.59,108316.0,21375.0,400482.32,73,Business,Married,36253.8,0.0289,354921.68,0,Senior_Planning
2344096.56,70336.0,96923.0,240939.39,36,Business,Married,331000.23,0.1412,400357.9,0,High_Income_Strategy
2130046.23,7858.0,12162.0,203916.37,72,Retired,Married,321706.28,0.151,342868.15,0,Senior_Planning
1983815.47,141092.0,80943.0,147411.62,34,Government,Married,230683.08,0.1163,388267.35,50000,High_Income_Strategy
1028727.71,117643.0,50850.0,321685.63,54,Government,Single,17009.1,0.0165,303953.94,50000,Aggressive_Tax_Planning
1855667.33,80054.0,28121.0,693594.27,61,Private,Married,89210.79,0.0481,489757.41,50000,Senior_Planning
577475.54,86868.53,63085.89,94884.99,22,Private,Single,4297.08,0.0074,175875.29,50000,Standard_Planning
382347.34,45464.81,23693.42,139723.59,40,Government,Single,0.0,0.0,119292.37,50000,Standard_Planning
1558928.89,43600.0,22467.0,24398.4,72,Self-Employed,Married,186800.51,0.1198,299585.31,0,Senior_Planning
2142176.78,124067.0,62993.0,177870.89,69,Private,Single,281500.72,0.1314,386858.44,50000,Senior_Planning
2076237.88,40111.0,15133.0,454903.0,64,Self-Employed,Married,215620.36,0.1039,432165.86,0,Senior_Planning
1557110.49,137767.0,50033.0,24544.26,40,Private,Single,154639.22,0.0993,331179.25,50000,High_Income_Strategy
344744.21,49153.57,24285.82,136297.04,48,Self-Employed,Single,0.0,0.0,107560.19,0,Standard_Planning
1202984.82,26085.0,73316.0,403975.32,35,Private,Single,33759.28,0.0281,341571.98,50000,Aggressive_Tax_Planning
3107208.77,18539.0,8251.0,1093372.44,63,Private,Married,346958.46,0.1117,622490.68,50000,Senior_Planning
1694962.9,122000.0,3461.0,310820.3,30,Private,Married,132257.22,0.078,396571.21,50000,High_Income_Strategy
1511707.05,57110.0,35007.0,25628.73,56,Retired,Single,167429.94,0.1108,304222.66,0,High_Income_Strategy
575833.12,49573.69,38797.54,204536.27,49,Business,Married,1712.13,0.003,177947.8,0,Standard_Planning
813920.91,39435.96,17561.88,72844.13,24,Private,Single,32144.21,0.0395,221799.11,50000,Standard_Planning
1776164.8,85712.0,5876.0,519893.03,56,Private,Married,112254.22,0.0632,441909.19,50000,High_Income_Strategy
930358.1,85751.44,33510.66,285633.0,45,Self-Employed,Married,15648.15,0.0168,274623.58,0,Standard_Planning
1310216.01,20849.0,21504.0,515184.95,74,Private,Single,39417.78,0.0301,369369.62,50000,Senior_Planning
993295.66,76117.1,86150.78,22585.5,37,Government,Married,48117.0,0.0484,261791.25,50000,Standard_Planning
2373372.93,115352.0,46419.0,930400.91,75,Private,Single,138112.27,0.0582,602380.09,50000,Senior_Planning
825641.17,51698.89,68794.31,56462.33,48,Private,Single,28463.31,0.0345,229136.74,50000,Standard_Planning
2086717.44,77235.0,61321.0,36480.51,59,Private,Married,323444.45,0.155,327611.39,50000,High_Income_Strategy
1352786.83,138896.0,61968.0,260185.6,64,Business,Single,61111.01,0.0452,360958.48,0,Senior_Planning
2394794.16,95164.0,98425.0,714640.01,55,Private,Married,191506.94,0.08,555668.84,50000,High_Income_Strategy
1233137.45,128017.0,66883.0,232556.76,60,Private,Married,47686.19,0.0387,337052.7,50000,Senior_Planning
567730.96,48971.55,46438.55,91673.74,65,Private,Married,6793.65,0.012,170338.41,50000,Senior_Planning
2542888.28,98138.0,33931.0,288475.45,37,Self-Employed,Married,389171.27,0.153,404209.87,0,High_Income_Strategy
2202056.97,56490.0,60951.0,722410.69,68,Government,Married,159173.37,0.0723,527868.4,50000,Senior_Planning
898649.83,29661.94,64923.28,71182.76,68,Private,Single,37219.71,0.0414,243159.04,50000,Senior_Planning
1064901.46,110326.0,27360.0,291196.32,21,Private,Married,27145.99,0.0255,305103.26,50000,Aggressive_Tax_Planning
1376442.56,120102.0,91822.0,50177.85,28,Private,Married,101782.87,0.0739,327667.21,50000,Aggressive_Tax_Planning
1628553.45,116862.0,56242.0,445791.97,24,Private,Single,80008.76,0.0491,428099.92,50000,High_Income_Strategy
631382.41,5401.52,2846.93,175300.82,32,Government,Single,10287.32,0.0163,186703.99,50000,Standard_Planning
2553081.11,133936.0,42882.0,524912.42,66,Self-Employed,Married,304621.42,0.1193,491939.89,0,Senior_Planning
774889.82,96938.44,70317.88,294495.42,74,Private,Married,3283.18,0.0042,238482.44,50000,Senior_Planning
2025097.11,146015.0,26978.0,654122.74,66,Private,Married,119180.12,0.0589,512650.17,50000,Senior_Planning
1793372.98,26525.0,41213.0,299654.97,38,Private,Married,175754.8,0.098,383777.57,50000,High_Income_Strategy
1422104.33,56392.0,3251.0,8849.0,67,Government,Single,156939.21,0.1104,286757.34,50000,Senior_Planning
1709800.87,12264.0,22079.0,258358.92,40,Private,Married,173445.73,0.1014,360012.14,50000,High_Income_Strategy
325893.87,4187.51,17795.72,36337.51,57,Private,Married,913.8,0.0028,100765.09,50000,Standard_Planning
332020.52,39679.78,15993.73,6178.86,75,Government,Married,1048.74,0.0032,102541.66,50000,Senior_Planning
1712020.0,118317.0,35237.0,491006.58,48,Business,Married,92031.56,0.0538,442118.68,0,High_Income_Strategy
1724794.3,115712.0,15766.0,220828.53,25,Private,Single,161846.82,0.0938,376289.0,50000,High_Income_Strategy
1478087.88,79519.0,8221.0,170040.06,24,Private,Single,123824.03,0.0838,337339.39,50000,Aggressive_Tax_Planning
1079290.35,69929.0,40660.0,152560.57,73,Private,Single,49317.96,0.0457,287420.63,50000,Senior_Planning
1283950.91,140556.0,69729.0,161467.85,28,Private,Married,64302.9,0.0501,336289.79,50000,Aggressive_Tax_Planning
1930301.77,110363.0,69553.0,13838.16,21,Private,Single,268802.85,0.1393,333451.3,50000,High_Income_Strategy
1484950.38,50690.0,54856.0,359504.93,57,Private,Married,82139.08,0.0553,381165.43,50000,Aggressive_Tax_Planning
1162090.65,76627.0,20746.0,183636.16,49,Government,Single,59448.71,0.0512,303123.57,50000,Aggressive_Tax_Planning
2137790.16,70954.0,63662.0,402188.13,56,Private,Married,226507.64,0.106,440482.89,50000,High_Income_Strategy
