AnnualIncome,Deductions,HRA,Age,EmploymentType,MaritalStatus,EffectiveStrategy
1862770,80610,70989,25,Public,Single,Increase 80C Investments
459743,73857,61647,54,Private,Single,No Action Needed
1112923,168529,48069,35,Self-Employed,Single,No Action Needed
1147385,156625,146998,48,Public,Single,NPS Contributions
1837315,67487,61032,55,Self-Employed,Married,Increase 80C Investments
1059595,111487,85192,61,Self-Employed,Married,NPS Contributions
1051228,165812,62329,30,Public,Married,Invest in ELSS
842542,165359,44056,34,Self-Employed,Single,Invest in ELSS
1797660,112186,43123,58,Public,Single,NPS Contributions
758251,89072,24680,31,Public,Single,No Action Needed
850149,118444,90203,23,Public,Single,Invest in ELSS
1758917,169966,6544,36,Private,Married,Use HRA Benefits
902420,118586,139586,52,Self-Employed,Single,NPS Contributions
1487381,177557,144957,37,Self-Employed,Married,No Action Needed
1728415,85661,101269,31,Public,Single,Increase 80C Investments
500475,67079,31466,37,Public,Single,No Action Needed
331884,55498,24345,28,Self-Employed,Single,No Action Needed
914835,165809,97625,44,Private,Single,No Action Needed
789268,40664,15960,38,Public,Single,No Action Needed
1047273,42828,51079,51,Private,Single,Increase 80C Investments
1903357,172706,110009,53,Private,Single,NPS Contributions
339457,103711,63652,39,Public,Single,No Action Needed
442337,38315,111037,64,Private,Single,No Action Needed
329041,166217,140953,44,Public,Single,No Action Needed
586705,149061,135970,52,Public,Married,No Action Needed
1830272,42438,8401,34,Private,Single,Increase 80C Investments
1086714,81936,33498,51,Public,Married,Increase 80C Investments
386491,45868,57031,35,Self-Employed,Single,No Action Needed
1057142,92926,19996,65,Private,Married,Increase 80C Investments
640059,141164,145793,61,Self-Employed,Single,No Action Needed
1800837,168097,66691,40,Self-Employed,Married,No Action Needed
913683,115229,13799,35,Private,Married,Use HRA Benefits
1511924,68808,49974,31,Self-Employed,Single,Increase 80C Investments
1401527,132193,6376,35,Self-Employed,Married,No Action Needed
380667,102091,111353,24,Private,Married,No Action Needed
1293684,89809,128523,32,Private,Single,Increase 80C Investments
1199633,157663,12742,63,Self-Employed,Single,NPS Contributions
1641898,76958,140743,28,Private,Single,Increase 80C Investments
399532,158785,107943,55,Private,Married,No Action Needed
1789154,66815,40354,40,Public,Married,Increase 80C Investments
1743420,196806,8820,55,Private,Single,Use HRA Benefits
1032713,102569,31620,41,Public,Married,No Action Needed
1757663,48739,79684,36,Public,Single,Increase 80C Investments
344319,150876,116341,36,Self-Employed,Single,No Action Needed
1410183,59754,62259,47,Self-Employed,Married,Increase 80C Investments
862813,143616,49819,42,Self-Employed,Married,No Action Needed
1292616,30631,115558,29,Self-Employed,Single,Increase 80C Investments
1851351,142333,3833,30,Public,Married,Invest in ELSS
479010,81000,106475,43,Self-Employed,Married,No Action Needed
538815,154429,2815,21,Private,Single,Use HRA Benefits
620152,148269,100955,60,Private,Married,No Action Needed
662777,78780,41169,35,Public,Married,No Action Needed
1468475,34457,36452,47,Self-Employed,Married,Increase 80C Investments
1271773,187583,78869,47,Public,Married,NPS Contributions
388237,38911,61360,62,Public,Single,No Action Needed
1792406,90472,6290,59,Self-Employed,Single,Increase 80C Investments
1377087,191371,30221,58,Self-Employed,Single,NPS Contributions
338644,52966,5953,27,Public,Married,No Action Needed
1133489,189723,42991,44,Private,Married,Use HRA Benefits
1810712,166029,17823,33,Self-Employed,Single,Invest in ELSS
1294268,190554,59688,28,Public,Single,Invest in ELSS
1267204,183421,98826,27,Private,Single,Invest in ELSS
1306675,83020,80243,26,Self-Employed,Single,Increase 80C Investments
1413733,74555,74072,21,Public,Married,Increase 80C Investments
1402116,36176,12436,36,Private,Married,Increase 80C Investments
1758750,135386,84819,56,Private,Married,NPS Contributions
469677,128154,42790,30,Private,Married,Use HRA Benefits
1450946,161078,36643,57,Private,Married,Use HRA Benefits
1940984,154316,108513,60,Self-Employed,Married,NPS Contributions
1397882,95230,28752,50,Private,Single,Increase 80C Investments
359859,129778,4175,26,Private,Married,Use HRA Benefits
1178881,88986,141081,36,Self-Employed,Single,Increase 80C Investments
1229594,191981,96599,35,Private,Married,No Action Needed
1052279,81413,87450,62,Self-Employed,Single,Increase 80C Investments
919454,137667,108508,59,Public,Married,NPS Contributions
1690029,193836,121573,51,Public,Single,NPS Contributions
791914,57563,19226,34,Self-Employed,Married,No Action Needed
1683224,166780,118195,55,Self-Employed,Single,NPS Contributions
562330,107238,147903,42,Public,Single,No Action Needed
1690668,93558,109974,48,Private,Married,Increase 80C Investments
561233,186039,56188,21,Public,Single,No Action Needed
611970,42360,86629,33,Public,Married,No Action Needed
1532072,84790,55950,43,Private,Single,Increase 80C Investments
